SourceId,TargetId,Comment
,,
T:System.Globalization.CultureInfo,G:DesktopInterop,Grandfathered access to the desktop SDK
T:System.Threading.LowLevelThread,G:DesktopInterop,Grandfathered access to the desktop SDK
T:System.Threading.SpinWait,G:DesktopInterop,Grandfathered access to the desktop SDK
,,
T:System.Globalization.CultureData,G:WinRT,WinRT interop
T:System.Globalization.CultureInfo,G:WinRT,WinRT interop
T:System.Globalization.HijriCalendar,G:WinRT,WinRT interop
T:System.Globalization.JapaneseCalendar,G:WinRT,WinRT interop
T:System.IO.Path,G:WinRT,WinRT interop
,,
T:System.IO.LongPathHelper,G:Interop,Regular MCG interop dependancy
T:System.IO.PathHelper,T:System.IO.LongPathHelper,Used to get long path from short path
,,
T:System.Runtime.InteropServices.InteropExtensions,T:System.Runtime.RuntimeImports,Needed to provide the marshal class details about types
T:System.Runtime.InteropServices.InteropExtensions,T:Midori.Runtime.Magic,Needed to provide runtime magic for interop
T:Internal.Numerics.BigIntegerFormatProvider,T:System.Globalization.FormatProvider,Currently implemented inside System.Private.CoreLib so needs access to the basic globalization
T:Internal.Numerics.BigIntegerFormatProvider,T:System.Globalization.NumberFormatInfo,Currently implemented inside System.Private.CoreLib so needs access to the basic globalization
